#t                         ExternalField.h_x         ExternalField.h_y         ExternalField.h_z         m_x                       m_y                       m_z                   
+6.000000052353016e-09    +0.000000000000000e+00    +0.000000000000000e+00    -2.000000000000000e+00    -2.861022974087746e-09    +1.668930105225286e-09    +3.924570977687836e-03
+6.100000060627053e-09    +0.000000000000000e+00    +0.000000000000000e+00    -6.366210625000000e+05    +1.430511487043873e-09    +3.337860210450572e-09    -1.359027773141861e-01
+6.200000068901090e-09    +0.000000000000000e+00    +0.000000000000000e+00    -1.273242125000000e+06    -2.861022974087746e-09    +0.000000000000000e+00    -2.708424329757690e-01
+6.300000077175127e-09    +0.000000000000000e+00    +0.000000000000000e+00    -1.909862000000000e+06    +9.536743617033494e-10    +1.668930105225286e-09    -3.974934518337250e-01
+6.400000085449165e-09    +0.000000000000000e+00    +0.000000000000000e+00    -2.546480250000000e+06    +2.861022974087746e-09    +5.379319656384496e-09    -4.990473985671997e-01
+6.500000093723202e-09    +0.000000000000000e+00    +0.000000000000000e+00    -3.183102000000000e+06    +1.907348723406699e-09    +5.304813477380321e-09    -5.660644769668579e-01
+6.600000101997239e-09    +0.000000000000000e+00    +0.000000000000000e+00    -3.819720250000000e+06    +2.861022974087746e-09    +1.668930105225286e-09    -6.091111302375793e-01
+6.700000110271276e-09    +0.000000000000000e+00    +0.000000000000000e+00    -4.456340500000000e+06    +2.384185959769525e-09    +7.390976275445382e-09    -6.422030329704285e-01
+6.800000118545313e-09    +0.000000000000000e+00    +0.000000000000000e+00    -5.092960500000000e+06    +6.198883184538317e-09    +6.198883184538317e-09    -6.717680692672729e-01
+6.900000126819350e-09    +0.000000000000000e+00    +0.000000000000000e+00    -5.729580500000000e+06    +2.384185959769525e-09    +5.602836861129390e-09    -6.987378001213074e-01
+7.000000135093387e-09    +0.000000000000000e+00    +0.000000000000000e+00    -6.366202000000000e+06    +3.337860210450572e-09    +4.887581006585151e-09    -7.231775522232056e-01
+7.100000143367424e-09    +0.000000000000000e+00    +0.000000000000000e+00    -7.002820500000000e+06    +1.907348723406699e-09    +5.960464566356904e-09    -7.438374161720276e-01
+7.200000151641461e-09    +0.000000000000000e+00    +0.000000000000000e+00    -7.639440500000000e+06    +1.907348723406699e-09    +4.053116064994811e-09    -7.583579421043396e-01
+7.300000159915498e-09    +0.000000000000000e+00    +0.000000000000000e+00    -8.276060500000000e+06    +4.768371808516747e-10    +1.072883670794056e-09    -7.685455679893494e-01
+7.400000168189536e-09    +0.000000000000000e+00    +0.000000000000000e+00    -8.912683000000000e+06    +2.384185904258374e-10    +5.960464899423812e-10    -7.775837182998657e-01
+7.499999732374363e-09    +0.000000000000000e+00    +0.000000000000000e+00    -9.549294000000000e+06    +2.145767341588112e-09    +6.556511444877344e-10    -7.854928374290466e-01
+7.599999740648400e-09    +0.000000000000000e+00    +0.000000000000000e+00    -1.018591700000000e+07    +2.324581194201869e-09    +6.556511444877344e-10    -7.917450666427612e-01
+7.699999748922437e-09    +0.000000000000000e+00    +0.000000000000000e+00    -1.082253700000000e+07    +5.066395081243513e-10    +1.132488325339409e-09    -7.961189150810242e-01
+7.799999757196474e-09    +0.000000000000000e+00    +0.000000000000000e+00    -1.145915400000000e+07    +2.421438882738158e-10    +1.251697634430116e-09    -7.981402873992920e-01
+7.899999765470511e-09    +0.000000000000000e+00    +0.000000000000000e+00    -1.209577700000000e+07    -3.725290353973065e-10    +1.072883670794056e-09    -7.987381815910339e-01
+7.999999773744548e-09    +0.000000000000000e+00    +0.000000000000000e+00    -1.273239400000000e+07    +4.619360172153364e-10    -5.960464760645934e-11    -7.990164160728455e-01
+8.099999782018585e-09    +0.000000000000000e+00    +0.000000000000000e+00    -1.336901500000000e+07    +6.332993573998635e-10    +9.536743617033494e-10    -7.991869449615479e-01
+8.199999790292622e-09    +0.000000000000000e+00    +0.000000000000000e+00    -1.400563500000000e+07    +2.179294938953191e-10    +1.072883670794056e-09    -7.993066906929016e-01
+8.299999798566660e-09    +0.000000000000000e+00    +0.000000000000000e+00    -1.464225500000000e+07    -8.940696794024205e-11    +3.576278717609682e-10    -7.993972301483154e-01
+8.399999806840697e-09    +0.000000000000000e+00    +0.000000000000000e+00    -1.527887500000000e+07    -4.414469345626060e-10    +2.980232449711906e-10    -7.994688153266907e-01
+8.499999815114734e-09    +0.000000000000000e+00    +0.000000000000000e+00    -1.591549400000000e+07    +6.929040119452168e-10    +1.192092952129187e-10    -7.995269894599915e-01
+8.599999823388771e-09    +0.000000000000000e+00    +0.000000000000000e+00    -1.527887500000000e+07    +1.415610406674261e-10    +1.788139358804841e-10    -7.994694709777832e-01
+8.699999831662808e-09    +0.000000000000000e+00    +0.000000000000000e+00    -1.464225500000000e+07    +2.551824029861649e-10    +7.152557435219364e-10    -7.993981838226318e-01
+8.799999839936845e-09    +0.000000000000000e+00    +0.000000000000000e+00    -1.400563500000000e+07    +7.785856959152682e-10    +3.576278717609682e-10    -7.993080019950867e-01
+8.899999848210882e-09    +0.000000000000000e+00    +0.000000000000000e+00    -1.336901600000000e+07    +6.705522803684971e-10    +1.132488325339409e-09    -7.991892695426941e-01
+8.999999856484919e-09    +0.000000000000000e+00    +0.000000000000000e+00    -1.273239600000000e+07    +8.977950050059746e-10    +1.251697634430116e-09    -7.990211844444275e-01
+9.099999864758956e-09    +0.000000000000000e+00    +0.000000000000000e+00    -1.209577700000000e+07    +1.035630803336574e-09    +5.364418353970279e-10    -7.987511754035950e-01
+9.199999873032993e-09    +0.000000000000000e+00    +0.000000000000000e+00    -1.145915700000000e+07    +9.723007954320906e-10    +7.748603980672897e-10    -7.981963157653809e-01
+9.299999881307031e-09    +0.000000000000000e+00    +0.000000000000000e+00    -1.082253700000000e+07    -7.003546076411737e-10    +1.132488325339409e-09    -7.965649962425232e-01
+9.399999889581068e-09    +0.000000000000000e+00    +0.000000000000000e+00    -1.018591700000000e+07    +1.281499906191641e-09    -5.364418353970279e-10    -7.922204136848450e-01
+9.499999897855105e-09    +0.000000000000000e+00    +0.000000000000000e+00    -9.549296000000000e+06    +1.490116141589226e-09    -4.768371808516747e-10    -7.861925363540649e-01
+9.599999906129142e-09    +0.000000000000000e+00    +0.000000000000000e+00    -8.912677000000000e+06    -1.192092952129187e-10    +1.668930105225286e-09    -7.782329320907593e-01
+9.699999914403179e-09    +0.000000000000000e+00    +0.000000000000000e+00    -8.276057500000000e+06    +2.622604577950938e-09    +8.344650526126429e-10    -7.692467570304871e-01
+9.799999922677216e-09    +0.000000000000000e+00    +0.000000000000000e+00    -7.639437500000000e+06    +7.152557435219364e-10    +7.152557435219364e-10    -7.593304514884949e-01
+9.899999930951253e-09    +0.000000000000000e+00    +0.000000000000000e+00    -7.002817500000000e+06    +1.907348723406699e-09    +4.410743770222325e-09    -7.455254793167114e-01
+9.999999939225290e-09    +0.000000000000000e+00    +0.000000000000000e+00    -6.366197000000000e+06    +4.768371919539049e-09    +5.006790537720462e-09    -7.246129512786865e-01
+1.009999994749933e-08    +0.000000000000000e+00    +0.000000000000000e+00    -5.729578500000000e+06    +1.907348723406699e-09    +8.583069366352447e-09    -7.000623941421509e-01
+1.019999995577336e-08    +0.000000000000000e+00    +0.000000000000000e+00    -5.092958500000000e+06    +6.437301802719730e-09    +7.390976275445382e-09    -6.730064749717712e-01
+1.029999996404740e-08    +0.000000000000000e+00    +0.000000000000000e+00    -4.456338500000000e+06    +3.576278828631985e-09    +5.960464566356904e-09    -6.436126828193665e-01
+1.039999997232144e-08    +0.000000000000000e+00    +0.000000000000000e+00    -3.819719250000000e+06    +2.622604577950938e-09    +6.437301802719730e-09    -6.107215881347656e-01
+1.049999998059548e-08    +0.000000000000000e+00    +0.000000000000000e+00    -3.183099000000000e+06    +1.192092979884762e-09    +5.722045948175492e-09    -5.693861842155457e-01
+1.059999998886951e-08    +0.000000000000000e+00    +0.000000000000000e+00    -2.546479250000000e+06    +3.814697446813398e-09    +3.188848740620642e-09    -5.075462460517883e-01
+1.069999999714355e-08    +0.000000000000000e+00    +0.000000000000000e+00    -1.909859125000000e+06    +3.337860210450572e-09    +3.635883594199640e-09    -4.065345525741577e-01
+1.080000000541759e-08    +0.000000000000000e+00    +0.000000000000000e+00    -1.273239125000000e+06    +2.861022974087746e-09    +1.072883670794056e-09    -2.792064249515533e-01
+1.090000001369162e-08    +0.000000000000000e+00    +0.000000000000000e+00    -6.366200625000000e+05    +1.907348723406699e-09    +4.053116064994811e-09    -1.437276750802994e-01
+1.100000002196566e-08    +0.000000000000000e+00    +0.000000000000000e+00    +0.000000000000000e+00    -1.907348723406699e-09    +7.152557657263969e-09    -3.924472723156214e-03
+1.110000003023970e-08    +0.000000000000000e+00    +0.000000000000000e+00    +6.366190625000000e+05    -2.384185959769525e-09    +1.430511487043873e-09    +1.359027177095413e-01
+1.120000003851374e-08    +0.000000000000000e+00    +0.000000000000000e+00    +1.273240125000000e+06    +1.430511487043873e-09    -5.006790537720462e-09    +2.708424329757690e-01
+1.130000004678777e-08    +0.000000000000000e+00    +0.000000000000000e+00    +1.909860125000000e+06    -2.384185959769525e-09    -6.675720420901143e-09    +3.974923789501190e-01
+1.140000005506181e-08    +0.000000000000000e+00    +0.000000000000000e+00    +2.546478250000000e+06    -2.384185959769525e-09    +1.639127833463760e-09    +4.990473985671997e-01
+1.150000006333585e-08    +0.000000000000000e+00    +0.000000000000000e+00    +3.183100000000000e+06    -4.768371808516747e-10    -4.947185772152807e-09    +5.660644769668579e-01
+1.160000007160988e-08    +0.000000000000000e+00    +0.000000000000000e+00    +3.819718250000000e+06    -3.814697446813398e-09    -6.198883184538317e-09    +6.091110110282898e-01
+1.170000007988392e-08    +0.000000000000000e+00    +0.000000000000000e+00    +4.456338500000000e+06    -3.814697446813398e-09    -2.861022974087746e-09    +6.422026753425598e-01
+1.180000008815796e-08    +0.000000000000000e+00    +0.000000000000000e+00    +5.092958500000000e+06    -2.384185959769525e-09    -2.503395268860231e-09    +6.717678308486938e-01
+1.190000009643200e-08    +0.000000000000000e+00    +0.000000000000000e+00    +5.729578500000000e+06    +0.000000000000000e+00    -5.483627774083288e-09    +6.987378001213074e-01
+1.200000010470603e-08    +0.000000000000000e+00    +0.000000000000000e+00    +6.366198000000000e+06    -1.430511487043873e-09    -4.410743770222325e-09    +7.231774926185608e-01
+1.210000011298007e-08    +0.000000000000000e+00    +0.000000000000000e+00    +7.002818500000000e+06    -2.861022974087746e-09    -2.622604577950938e-09    +7.438374161720276e-01
+1.220000012125411e-08    +0.000000000000000e+00    +0.000000000000000e+00    +7.639438500000000e+06    -3.337860210450572e-09    -2.264976650678818e-09    +7.583579421043396e-01
