#t                         m_x                       m_y                       m_z                   
+1.140000000000001e-09    +7.927633476953106e-01    +5.847044332101424e-01    +2.207535870037983e-04
+1.145000000000002e-09    +7.928020081971570e-01    +5.846428929269202e-01    +1.993475912436665e-05
+1.150000000000002e-09    +7.927609319615714e-01    +5.846906812625327e-01    -1.678583502649782e-04
+1.155000000000002e-09    +7.926482573275911e-01    +5.848372115082193e-01    -3.346701452884783e-04
+1.160000000000002e-09    +7.924745401902724e-01    +5.850687354057328e-01    -4.750763653508129e-04
+1.165000000000002e-09    +7.922517231128451e-01    +5.853697357453461e-01    -5.857473453299609e-04
+1.170000000000002e-09    +7.919923519697585e-01    +5.857238943491275e-01    -6.648676506297373e-04
+1.175000000000002e-09    +7.917090945131869e-01    +5.861145527931467e-01    -7.115602084055853e-04
+1.180000000000002e-09    +7.914145631346476e-01    +5.865247212915099e-01    -7.254364363957020e-04
+1.185000000000002e-09    +7.911213536106393e-01    +5.869368372341154e-01    -7.063335893201528e-04
+1.190000000000002e-09    +7.908421211316154e-01    +5.873326028237298e-01    -6.542778010411994e-04
+1.195000000000002e-09    +7.905895610164192e-01    +5.876930852941534e-01    -5.697029751546797e-04
+1.200000000000002e-09    +7.903762393400050e-01    +5.879991347003841e-01    -4.538754365913349e-04
+1.205000000000003e-09    +7.902142243648380e-01    +5.882321581403781e-01    -3.094277512646964e-04
+1.210000000000003e-09    +7.901144813266466e-01    +5.883752727412209e-01    -1.408672332701440e-04
+1.215000000000003e-09    +7.900860575819723e-01    +5.884147484583971e-01    +4.505781401203264e-05
+1.220000000000003e-09    +7.901351361246294e-01    +5.883415634288681e-01    +2.392531736500799e-04
+1.225000000000003e-09    +7.902640648827214e-01    +5.881528888990858e-01    +4.305040909478416e-04
+1.230000000000003e-09    +7.904704927745391e-01    +5.878532840795586e-01    +6.060550685648532e-04
+1.235000000000003e-09    +7.907467403793232e-01    +5.874554108945872e-01    +7.525156251512087e-04
+1.240000000000003e-09    +7.910795442898759e-01    +5.869800895250121e-01    +8.570109047779231e-04
+1.245000000000003e-09    +7.914503118965799e-01    +5.864555609341976e-01    +9.084634216840347e-04
+1.250000000000003e-09    +7.918359358032941e-01    +5.859159755738375e-01    +8.988781206357209e-04
+1.255000000000003e-09    +7.922101280261430e-01    +5.853992301606216e-01    +8.244657813916054e-04
+1.260000000000004e-09    +7.925452104642120e-01    +5.849442715626254e-01    +6.864446254329925e-04
+1.265000000000004e-09    +7.928142720533746e-01    +5.845879676518335e-01    +4.914007016100791e-04
+1.270000000000004e-09    +7.929935207539633e-01    +5.843617877979608e-01    +2.511550596276008e-04
+1.275000000000004e-09    +7.930645955982494e-01    +5.842886452779456e-01    -1.787976354709890e-05
+1.280000000000004e-09    +7.930165953707617e-01    +5.843802737954651e-01    -2.958239813153470e-04
+1.285000000000004e-09    +7.928475925290622e-01    +5.846354966070062e-01    -5.608728387292191e-04
+1.290000000000004e-09    +7.925654613300892e-01    +5.850396268487258e-01    -7.911486031246669e-04
+1.295000000000004e-09    +7.921878754496534e-01    +5.855651427715383e-01    -9.666817218515770e-04
+1.300000000000004e-09    +7.917413729700390e-01    +5.861736462233489e-01    -1.071327774230233e-03
+1.305000000000004e-09    +7.912594973382117e-01    +5.868189359900892e-01    -1.094422014627304e-03
+1.310000000000004e-09    +7.907801465666792e-01    +5.874508629587869e-01    -1.031991627866196e-03
+1.315000000000004e-09    +7.903423442820442e-01    +5.880195896174123e-01    -8.873617207048029e-04
+1.320000000000005e-09    +7.899827004643779e-01    +5.884798994473365e-01    -6.710669062807321e-04
+1.325000000000005e-09    +7.897319359998085e-01    +5.887951212528871e-01    -4.000589880466589e-04
+1.330000000000005e-09    +7.896118739970892e-01    +5.889402570698584e-01    -9.626608909304490e-05
+1.335000000000005e-09    +7.896332584285908e-01    +5.889040180319152e-01    +2.153651480390929e-04
+1.340000000000005e-09    +7.897946439197392e-01    +5.886896517431693e-01    +5.091616582652255e-04
+1.345000000000005e-09    +7.900824767086889e-01    +5.883145671909109e-01    +7.610923140335450e-04
+1.350000000000005e-09    +7.904723719361888e-01    +5.878088259058112e-01    +9.509496852807633e-04
+1.355000000000005e-09    +7.909314555891495e-01    +5.872126186900052e-01    +1.064113714893271e-03
+1.360000000000005e-09    +7.914214922812343e-01    +5.865729253526338e-01    +1.092739458197492e-03
+1.365000000000005e-09    +7.919024214479262e-01    +5.859396512353794e-01    +1.036264108115198e-03
+1.370000000000005e-09    +7.923359376425909e-01    +5.853615406791033e-01    +9.012083001358851e-04
+1.375000000000005e-09    +7.926887899746364e-01    +5.848821738462386e-01    +7.003459715563499e-04
+1.380000000000006e-09    +7.929354969324102e-01    +5.845364147459771e-01    +4.513812765424148e-04
+1.385000000000006e-09    +7.930602287037147e-01    +5.843476905393041e-01    +1.752883208920733e-04
+1.390000000000006e-09    +7.930577237665530e-01    +5.843263521818477e-01    -1.055409885089709e-04
+1.395000000000006e-09    +7.929332271005578e-01    +5.844692042056441e-01    -3.691869047507188e-04
+1.400000000000006e-09    +7.927015171647267e-01    +5.847601966923107e-01    -5.959713960050998e-04
+1.405000000000006e-09    +7.923851499586693e-01    +5.851721953021657e-01    -7.699704131695395e-04
+1.410000000000006e-09    +7.920121180496258e-01    +5.856696622343827e-01    -8.801642471515239e-04
+1.415000000000006e-09    +7.916131829114007e-01    +5.862119733068081e-01    -9.211428710770494e-04
+1.420000000000006e-09    +7.912191623518137e-01    +5.867570150177744e-01    -8.933055078666441e-04
+1.425000000000006e-09    +7.908584173411288e-01    +5.872647020668798e-01    -8.025363706649315e-04
+1.430000000000006e-09    +7.905547426100228e-01    +5.877001104870518e-01    -6.593990379329895e-04
+1.435000000000007e-09    +7.903258349303168e-01    +5.880359553252572e-01    -4.779318614750220e-04
+1.440000000000007e-09    +7.901824494369165e-01    +5.882542047664451e-01    -2.741650355796813e-04
+1.445000000000007e-09    +7.901282542306500e-01    +5.883467602667659e-01    -6.452090927625051e-05
