#t                         m_x                       m_y                       m_z                   
+8.250000127496548e-10    -7.687379121780396e-01    -3.843423351645470e-02    +4.677590727806091e-02
+8.300000131633567e-10    -7.666319012641907e-01    -1.917228288948536e-02    +4.638357087969780e-02
+8.350000135770586e-10    -7.633422017097473e-01    +1.074646716006100e-04    +4.343507438898087e-02
+8.400000139907604e-10    -7.609856128692627e-01    +1.805581897497177e-02    +3.825397416949272e-02
+8.450000144044623e-10    -7.604732513427734e-01    +3.355260938405991e-02    +3.229901567101479e-02
+8.500000148181641e-10    -7.614997625350952e-01    +4.621366038918495e-02    +2.721527591347694e-02
+8.550000152318660e-10    -7.626617550849915e-01    +5.625583976507187e-02    +2.419002354145050e-02
+8.600000156455678e-10    -7.634011507034302e-01    +6.429737806320190e-02    +2.343543060123920e-02
+8.650000160592697e-10    -7.647201418876648e-01    +7.156842201948166e-02    +2.391660958528519e-02
+8.700000164729715e-10    -7.673795223236084e-01    +7.883723080158234e-02    +2.414530888199806e-02
+8.750000168866734e-10    -7.706219553947449e-01    +8.591795712709427e-02    +2.326856181025505e-02
+8.800000173003752e-10    -7.733050584793091e-01    +9.171831607818604e-02    +2.100053988397121e-02
+8.850000177140771e-10    -7.745853662490845e-01    +9.476303309202194e-02    +1.742453128099442e-02
+8.900000181277790e-10    -7.746325135231018e-01    +9.423571079969406e-02    +1.273764576762915e-02
+8.950000185414808e-10    -7.746374607086182e-01    +9.040014445781708e-02    +7.363961078226566e-03
+9.000000189551827e-10    -7.756135463714600e-01    +8.407166600227356e-02    +1.957433065399528e-03
+9.050000193688845e-10    -7.774084210395813e-01    +7.541260123252869e-02    -2.778715221211314e-03
+9.100000197825864e-10    -7.788119912147522e-01    +6.398540735244751e-02    -6.187171209603548e-03
+9.150000201962882e-10    -7.790559530258179e-01    +4.993905127048492e-02    -8.033030666410923e-03
+9.200000206099901e-10    -7.784711122512817e-01    +3.428601473569870e-02    -8.536484092473984e-03
+9.250000210236919e-10    -7.779093384742737e-01    +1.848153211176395e-02    -8.109156042337418e-03
+9.300000214373938e-10    -7.780560851097107e-01    +3.598568495362997e-03    -7.174703758209944e-03
+9.349999663399444e-10    -7.788968086242676e-01    -1.020419411361217e-02    -5.978221539407969e-03
+9.399999667536463e-10    -7.797530889511108e-01    -2.309442684054375e-02    -4.690379370003939e-03
+9.449999671673481e-10    -7.802095413208008e-01    -3.504320979118347e-02    -3.567037172615528e-03
+9.499999675810500e-10    -7.804151773452759e-01    -4.599264264106750e-02    -2.652665600180626e-03
+9.549999679947518e-10    -7.805927395820618e-01    -5.573244392871857e-02    -1.671724836342037e-03
+9.599999684084537e-10    -7.808764576911926e-01    -6.387220323085785e-02    -2.567853080108762e-04
+9.649999688221556e-10    -7.812678813934326e-01    -6.996326893568039e-02    +1.870451960712671e-03
+9.699999692358574e-10    -7.816361188888550e-01    -7.367901504039764e-02    +4.734355956315994e-03
+9.749999696495593e-10    -7.818094491958618e-01    -7.491510361433029e-02    +8.113363757729530e-03
+9.799999700632611e-10    -7.817388772964478e-01    -7.370906323194504e-02    +1.169505715370178e-02
+9.849999704769630e-10    -7.816433906555176e-01    -7.028936594724655e-02    +1.517880801111460e-02
+9.899999708906648e-10    -7.816661000251770e-01    -6.509231030941010e-02    +1.825549453496933e-02
+9.949999713043667e-10    -7.816932797431946e-01    -5.860457569360733e-02    +2.065166831016541e-02
+9.999999717180685e-10    -7.816781997680664e-01    -5.118696764111519e-02    +2.217759378254414e-02
