#t                         m_x                       m_y                       m_z                       unnamed_x                 unnamed_y                 unnamed_z             
+3.499999999999998e-10    +6.514144839430972e-01    +3.045698130310582e-01    -2.539841452792394e-02    +8.276035130989225e-01    +3.869472562578209e-01    -3.226796088907460e-02
+3.549999999999998e-10    +6.410420990200018e-01    +3.211778785189363e-01    -1.399148383002875e-02    +8.144256940403000e-01    +4.080473295327429e-01    -1.777578094534671e-02
+3.599999999999997e-10    +6.381401559528235e-01    +3.337499547847247e-01    -3.279868583072691e-03    +8.107388581832398e-01    +4.240197936719083e-01    -4.166979440529081e-03
+3.649999999999997e-10    +6.435603192056720e-01    +3.424052979540875e-01    +7.014086869904255e-03    +8.176250209263127e-01    +4.350161601798830e-01    +8.911197214369676e-03
+3.699999999999997e-10    +6.558593758968370e-01    +3.458407167975308e-01    +1.765524183836719e-02    +8.332506214868003e-01    +4.393807617874337e-01    +2.243048094601490e-02
+3.749999999999997e-10    +6.710459636140582e-01    +3.418098780582776e-01    +2.939832630341311e-02    +8.525447478173640e-01    +4.342596961931467e-01    +3.734973465843054e-02
+3.799999999999997e-10    +6.837846991807943e-01    +3.273191164927095e-01    +4.272697179101032e-02    +8.687289478425972e-01    +4.158495971321770e-01    +5.428339840445976e-02
+3.849999999999997e-10    +6.900981406896851e-01    +2.996099358614021e-01    +5.749397061475640e-02    +8.767499951194017e-01    +3.806458738487293e-01    +7.304444901924387e-02
+3.899999999999996e-10    +6.889426339214609e-01    +2.580846809397766e-01    +7.275876747824260e-02    +8.752819567438906e-01    +3.278892224346542e-01    +9.243793783836282e-02
+3.949999999999996e-10    +6.817826626724994e-01    +2.049896088369194e-01    +8.738310280031972e-02    +8.661854175888827e-01    +2.604334484478977e-01    +1.110177385453193e-01
+3.999999999999996e-10    +6.720846655629448e-01    +1.435577668924100e-01    +1.008206234483429e-01    +8.538643890030464e-01    +1.823860462752207e-01    +1.280897250758103e-01
+4.049999999999996e-10    +6.633484480889782e-01    +7.559377355751450e-02    +1.128550891893631e-01    +8.427652739989004e-01    +9.603973216240055e-02    +1.433791703845010e-01
